id_persona_hash,fecha,unidad_negocio,curso_id,habilidad,estado_certificacion,ticket_id,tiempo_resolucion_horas,c,r,p,version_modelo
2a86f1af30b0ecc44435d48f904b26544d8abb6f52696e7a6d97df3b3a354420,2026-07-08,Unidad_A,CURSO_11,Analitica,no_aplica,TKT_SYN_00001,38.96,0.025,0.275,0.223,1.0.0
18c036b46ca7224d2912e9126504dc5f792232bcb422d80cd5295432e2fb587b,2026-07-03,Unidad_C,CURSO_12,Datos,vigente,TKT_SYN_00002,43.62,0.233,0.602,0.561,1.0.0
e9aa75670169b0eb07633a23d1f0e0dda296a192517c7b43eb1cfd9ab67b9d32,2026-07-26,Unidad_A,CURSO_12,Datos,vencida,TKT_SYN_00003,40.3,0.589,0.809,0.006,1.0.0
0baac3a7794f75754aec885a8808a3a40c39d19f3a4b998c6ab031753bd9fbe9,2026-03-30,Unidad_C,CURSO_05,Analitica,no_aplica,TKT_SYN_00004,51.6,0.102,0.38,0.359,1.0.0
4199a863fba907492f4fe9c9a93947089363dd98e3053e9f25b68c934b909106,2026-05-22,Unidad_B,CURSO_11,Procesos,no_aplica,TKT_SYN_00005,43.89,0.536,0.973,0.379,1.0.0
cdedce2e48bc951a2bf80ff87d9921582d1aa754b7d64f727bf27d48182ed525,2026-08-10,Unidad_A,CURSO_07,Procesos,vencida,TKT_SYN_00006,46.97,0.773,0.985,0.855,1.0.0
cf43e69efdc77e417b53763879391a6f5651279222713cf23626b3f2cbf6b299,2026-06-29,Unidad_C,CURSO_11,Analitica,no_aplica,TKT_SYN_00007,30.55,0.163,0.355,0.67,1.0.0
9c52d1f4e4567b92bb30e2812acea7f61f9718df480fef0a4c8084fd9d54a3ae,2026-06-13,Unidad_C,CURSO_09,Soporte,no_aplica,TKT_SYN_00008,29.02,0.163,0.379,0.99,1.0.0
4da5fe194e67437dbfec5f014eb72b5b21ccdfb6dd04e34ecfc46452d9ae1fd5,2026-01-09,Unidad_B,CURSO_07,Procesos,vigente,TKT_SYN_00009,50.13,0.843,0.776,0.229,1.0.0
4da5fe194e67437dbfec5f014eb72b5b21ccdfb6dd04e34ecfc46452d9ae1fd5,2026-06-14,Unidad_B,CURSO_03,Procesos,vigente,TKT_SYN_00010,74.5,0.213,0.499,0.885,1.0.0
9c52d1f4e4567b92bb30e2812acea7f61f9718df480fef0a4c8084fd9d54a3ae,2026-04-20,Unidad_C,CURSO_07,Procesos,vigente,TKT_SYN_00011,49.64,0.745,0.539,0.747,1.0.0
9704e067982c58732d729d9387523a6e95079ba3ec056d667fbf73b9e7cf2b5c,2026-06-10,Unidad_A,CURSO_11,Datos,no_aplica,TKT_SYN_00012,41.87,0.091,0.047,0.11,1.0.0
ceb7c50e4c7c344f0c37e51cf63a7b7547fc0987acacb97e11aeeaf7ec2da137,2026-03-06,Unidad_C,CURSO_01,Analitica,no_aplica,TKT_SYN_00013,59.49,0.385,0.596,0.468,1.0.0
0baac3a7794f75754aec885a8808a3a40c39d19f3a4b998c6ab031753bd9fbe9,2026-07-04,Unidad_C,CURSO_05,Soporte,no_aplica,TKT_SYN_00014,26.54,0.112,0.435,0.454,1.0.0
9404a6962a4c40de6e99afdee66a89be77ba0e118f1f7729f63a12d648d96bc5,2026-06-05,Unidad_A,CURSO_03,Procesos,vigente,TKT_SYN_00015,18.43,0.871,0.298,0.639,1.0.0
a0a48d9e722caf5de2adbcb2e622f0c5b451335a1718f0a7800c352911a67564,2026-01-29,Unidad_B,CURSO_05,Soporte,vigente,TKT_SYN_00016,36.05,0.918,0.599,0.489,1.0.0
