Canal,Region,Meta,Llave,Fecha
CALL CENTER,R1,85,CALL CENTER-R1-202507,1970-01-01 00:00:00.000202507
CALL CENTER,R2,102,CALL CENTER-R2-202507,1970-01-01 00:00:00.000202507
CALL CENTER,R3,31,CALL CENTER-R3-202507,1970-01-01 00:00:00.000202507
CALL CENTER,R4,114,CALL CENTER-R4-202507,1970-01-01 00:00:00.000202507
CAV,R1,63,CAV-R1-202507,1970-01-01 00:00:00.000202507
CAV,R2,70,CAV-R2-202507,1970-01-01 00:00:00.000202507
CAV,R3,71,CAV-R3-202507,1970-01-01 00:00:00.000202507
CAV,R4,88,CAV-R4-202507,1970-01-01 00:00:00.000202507
CAV,R5,64,CAV-R5-202507,1970-01-01 00:00:00.000202507
CGV,R4,0,CGV-R4-202507,1970-01-01 00:00:00.000202507
COMERCIAL,R1,102,COMERCIAL-R1-202507,1970-01-01 00:00:00.000202507
COMERCIAL,R2,81,COMERCIAL-R2-202507,1970-01-01 00:00:00.000202507
COMERCIAL,R3,100,COMERCIAL-R3-202507,1970-01-01 00:00:00.000202507
COMERCIAL,R4,105,COMERCIAL-R4-202507,1970-01-01 00:00:00.000202507
COMERCIAL,R5,100,COMERCIAL-R5-202507,1970-01-01 00:00:00.000202507
CUIDADO AL CLIENTE,R1,0,CUIDADO AL CLIENTE-R1-202507,1970-01-01 00:00:00.000202507
CUIDADO AL CLIENTE,R2,0,CUIDADO AL CLIENTE-R2-202507,1970-01-01 00:00:00.000202507
CUIDADO AL CLIENTE,R3,0,CUIDADO AL CLIENTE-R3-202507,1970-01-01 00:00:00.000202507
CUIDADO AL CLIENTE,R4,20,CUIDADO AL CLIENTE-R4-202507,1970-01-01 00:00:00.000202507
CUIDADO AL CLIENTE,R5,0,CUIDADO AL CLIENTE-R5-202507,1970-01-01 00:00:00.000202507
EMPRESAS,R1,0,EMPRESAS-R1-202507,1970-01-01 00:00:00.000202507
EMPRESAS,R2,3,EMPRESAS-R2-202507,1970-01-01 00:00:00.000202507
EMPRESAS,R3,0,EMPRESAS-R3-202507,1970-01-01 00:00:00.000202507
EMPRESAS,R4,10,EMPRESAS-R4-202507,1970-01-01 00:00:00.000202507
EMPRESAS,R5,3,EMPRESAS-R5-202507,1970-01-01 00:00:00.000202507
PYME,R1,4,PYME-R1-202507,1970-01-01 00:00:00.000202507
PYME,R2,3,PYME-R2-202507,1970-01-01 00:00:00.000202507
PYME,R3,1,PYME-R3-202507,1970-01-01 00:00:00.000202507
PYME,R4,7,PYME-R4-202507,1970-01-01 00:00:00.000202507
PYME,R5,0,PYME-R5-202507,1970-01-01 00:00:00.000202507
TMK,R1,2,TMK-R1-202501,1970-01-01 00:00:00.000202501
TMK,R3,4,TMK-R3-202501,1970-01-01 00:00:00.000202501
TMK,R4,16,TMK-R4-202501,1970-01-01 00:00:00.000202501
TMK,R5,5,TMK-R5-202501,1970-01-01 00:00:00.000202501
TMK,R1,2,TMK-R1-202502,1970-01-01 00:00:00.000202502
TMK,R1,2,TMK-R1-202507,1970-01-01 00:00:00.000202507
TMK,R2,4,TMK-R2-202507,1970-01-01 00:00:00.000202507
TMK,R3,4,TMK-R3-202507,1970-01-01 00:00:00.000202507
TMK,R4,16,TMK-R4-202507,1970-01-01 00:00:00.000202507
TMK,R5,5,TMK-R5-202507,1970-01-01 00:00:00.000202507
CALL CENTER,R1,85,CALL CENTER-R1-202508,1970-01-01 00:00:00.000202508
CALL CENTER,R2,102,CALL CENTER-R2-202508,1970-01-01 00:00:00.000202508
CALL CENTER,R3,31,CALL CENTER-R3-202508,1970-01-01 00:00:00.000202508
CALL CENTER,R4,114,CALL CENTER-R4-202508,1970-01-01 00:00:00.000202508
CAV,R1,63,CAV-R1-202508,1970-01-01 00:00:00.000202508
CAV,R2,70,CAV-R2-202508,1970-01-01 00:00:00.000202508
CAV,R3,71,CAV-R3-202508,1970-01-01 00:00:00.000202508
CAV,R4,88,CAV-R4-202508,1970-01-01 00:00:00.000202508
CAV,R5,64,CAV-R5-202508,1970-01-01 00:00:00.000202508
CGV,R4,0,CGV-R4-202508,1970-01-01 00:00:00.000202508
COMERCIAL,R1,102,COMERCIAL-R1-202508,1970-01-01 00:00:00.000202508
COMERCIAL,R2,81,COMERCIAL-R2-202508,1970-01-01 00:00:00.000202508
COMERCIAL,R3,100,COMERCIAL-R3-202508,1970-01-01 00:00:00.000202508
COMERCIAL,R4,105,COMERCIAL-R4-202508,1970-01-01 00:00:00.000202508
COMERCIAL,R5,100,COMERCIAL-R5-202508,1970-01-01 00:00:00.000202508
CUIDADO AL CLIENTE,R1,0,CUIDADO AL CLIENTE-R1-202508,1970-01-01 00:00:00.000202508
CUIDADO AL CLIENTE,R2,0,CUIDADO AL CLIENTE-R2-202508,1970-01-01 00:00:00.000202508
CUIDADO AL CLIENTE,R3,0,CUIDADO AL CLIENTE-R3-202508,1970-01-01 00:00:00.000202508
CUIDADO AL CLIENTE,R4,20,CUIDADO AL CLIENTE-R4-202508,1970-01-01 00:00:00.000202508
CUIDADO AL CLIENTE,R5,0,CUIDADO AL CLIENTE-R5-202508,1970-01-01 00:00:00.000202508
EMPRESAS,R1,0,EMPRESAS-R1-202508,1970-01-01 00:00:00.000202508
EMPRESAS,R2,3,EMPRESAS-R2-202508,1970-01-01 00:00:00.000202508
EMPRESAS,R3,0,EMPRESAS-R3-202508,1970-01-01 00:00:00.000202508
EMPRESAS,R4,10,EMPRESAS-R4-202508,1970-01-01 00:00:00.000202508
EMPRESAS,R5,3,EMPRESAS-R5-202508,1970-01-01 00:00:00.000202508
TMK,R2,4,TMK-R2-202502,1970-01-01 00:00:00.000202502
TMK,R3,4,TMK-R3-202502,1970-01-01 00:00:00.000202502
TMK,R4,16,TMK-R4-202502,1970-01-01 00:00:00.000202502
TMK,R5,5,TMK-R5-202502,1970-01-01 00:00:00.000202502
TMK,R2,4,TMK-R2-202503,1970-01-01 00:00:00.000202503
PYME,R1,4,PYME-R1-202508,1970-01-01 00:00:00.000202508
PYME,R2,3,PYME-R2-202508,1970-01-01 00:00:00.000202508
PYME,R3,1,PYME-R3-202508,1970-01-01 00:00:00.000202508
PYME,R4,7,PYME-R4-202508,1970-01-01 00:00:00.000202508
PYME,R5,0,PYME-R5-202508,1970-01-01 00:00:00.000202508
TMK,R1,2,TMK-R1-202508,1970-01-01 00:00:00.000202508
TMK,R2,4,TMK-R2-202508,1970-01-01 00:00:00.000202508
TMK,R3,4,TMK-R3-202508,1970-01-01 00:00:00.000202508
TMK,R4,16,TMK-R4-202508,1970-01-01 00:00:00.000202508
TMK,R5,5,TMK-R5-202508,1970-01-01 00:00:00.000202508
CALL CENTER,R1,85,CALL CENTER-R1-202509,1970-01-01 00:00:00.000202509
CALL CENTER,R2,102,CALL CENTER-R2-202509,1970-01-01 00:00:00.000202509
CALL CENTER,R3,31,CALL CENTER-R3-202509,1970-01-01 00:00:00.000202509
CALL CENTER,R4,114,CALL CENTER-R4-202509,1970-01-01 00:00:00.000202509
CAV,R1,63,CAV-R1-202509,1970-01-01 00:00:00.000202509
CAV,R2,70,CAV-R2-202509,1970-01-01 00:00:00.000202509
CAV,R3,71,CAV-R3-202509,1970-01-01 00:00:00.000202509
CAV,R4,88,CAV-R4-202509,1970-01-01 00:00:00.000202509
CAV,R5,64,CAV-R5-202509,1970-01-01 00:00:00.000202509
CGV,R4,0,CGV-R4-202509,1970-01-01 00:00:00.000202509
COMERCIAL,R1,102,COMERCIAL-R1-202509,1970-01-01 00:00:00.000202509
COMERCIAL,R2,81,COMERCIAL-R2-202509,1970-01-01 00:00:00.000202509
COMERCIAL,R3,100,COMERCIAL-R3-202509,1970-01-01 00:00:00.000202509
COMERCIAL,R4,105,COMERCIAL-R4-202509,1970-01-01 00:00:00.000202509
COMERCIAL,R5,100,COMERCIAL-R5-202509,1970-01-01 00:00:00.000202509
CUIDADO AL CLIENTE,R1,0,CUIDADO AL CLIENTE-R1-202509,1970-01-01 00:00:00.000202509
CUIDADO AL CLIENTE,R2,0,CUIDADO AL CLIENTE-R2-202509,1970-01-01 00:00:00.000202509
CUIDADO AL CLIENTE,R3,0,CUIDADO AL CLIENTE-R3-202509,1970-01-01 00:00:00.000202509
CUIDADO AL CLIENTE,R4,20,CUIDADO AL CLIENTE-R4-202509,1970-01-01 00:00:00.000202509
CUIDADO AL CLIENTE,R5,0,CUIDADO AL CLIENTE-R5-202509,1970-01-01 00:00:00.000202509
TMK,R3,4,TMK-R3-202503,1970-01-01 00:00:00.000202503
TMK,R4,16,TMK-R4-202503,1970-01-01 00:00:00.000202503
TMK,R5,5,TMK-R5-202503,1970-01-01 00:00:00.000202503
TMK,R1,2,TMK-R1-202504,1970-01-01 00:00:00.000202504
TMK,R2,4,TMK-R2-202504,1970-01-01 00:00:00.000202504
CALL CENTER,R1,48,CALL CENTER-R1-202501,1970-01-01 00:00:00.000202501
CALL CENTER,R2,60,CALL CENTER-R2-202501,1970-01-01 00:00:00.000202501
CALL CENTER,R3,15,CALL CENTER-R3-202501,1970-01-01 00:00:00.000202501
CALL CENTER,R4,67,CALL CENTER-R4-202501,1970-01-01 00:00:00.000202501
CAV,R1,40,CAV-R1-202501,1970-01-01 00:00:00.000202501
CAV,R2,46,CAV-R2-202501,1970-01-01 00:00:00.000202501
CAV,R3,45,CAV-R3-202501,1970-01-01 00:00:00.000202501
CAV,R4,54,CAV-R4-202501,1970-01-01 00:00:00.000202501
CAV,R5,41,CAV-R5-202501,1970-01-01 00:00:00.000202501
CGV,R4,6,CGV-R4-202501,1970-01-01 00:00:00.000202501
COMERCIAL,R1,53,COMERCIAL-R1-202501,1970-01-01 00:00:00.000202501
COMERCIAL,R2,52,COMERCIAL-R2-202501,1970-01-01 00:00:00.000202501
COMERCIAL,R3,51,COMERCIAL-R3-202501,1970-01-01 00:00:00.000202501
COMERCIAL,R4,57,COMERCIAL-R4-202501,1970-01-01 00:00:00.000202501
COMERCIAL,R5,55,COMERCIAL-R5-202501,1970-01-01 00:00:00.000202501
CUIDADO AL CLIENTE,R4,0,CUIDADO AL CLIENTE-R4-202501,1970-01-01 00:00:00.000202501
EMPRESAS,R2,1,EMPRESAS-R2-202501,1970-01-01 00:00:00.000202501
EMPRESAS,R3,2,EMPRESAS-R3-202501,1970-01-01 00:00:00.000202501
EMPRESAS,R4,7,EMPRESAS-R4-202501,1970-01-01 00:00:00.000202501
EMPRESAS,R5,1,EMPRESAS-R5-202501,1970-01-01 00:00:00.000202501
PYME,R1,4,PYME-R1-202501,1970-01-01 00:00:00.000202501
PYME,R2,2,PYME-R2-202501,1970-01-01 00:00:00.000202501
PYME,R3,2,PYME-R3-202501,1970-01-01 00:00:00.000202501
PYME,R4,15,PYME-R4-202501,1970-01-01 00:00:00.000202501
TMK,R3,4,TMK-R3-202504,1970-01-01 00:00:00.000202504
TMK,R4,16,TMK-R4-202504,1970-01-01 00:00:00.000202504
TMK,R1,2,TMK-R1-202505,1970-01-01 00:00:00.000202505
CALL CENTER,R1,96,CALL CENTER-R1-202502,1970-01-01 00:00:00.000202502
CALL CENTER,R2,120,CALL CENTER-R2-202502,1970-01-01 00:00:00.000202502
CALL CENTER,R3,29,CALL CENTER-R3-202502,1970-01-01 00:00:00.000202502
CALL CENTER,R4,135,CALL CENTER-R4-202502,1970-01-01 00:00:00.000202502
CAV,R1,80,CAV-R1-202502,1970-01-01 00:00:00.000202502
CAV,R2,92,CAV-R2-202502,1970-01-01 00:00:00.000202502
CAV,R3,90,CAV-R3-202502,1970-01-01 00:00:00.000202502
CAV,R4,109,CAV-R4-202502,1970-01-01 00:00:00.000202502
CAV,R5,83,CAV-R5-202502,1970-01-01 00:00:00.000202502
CGV,R4,12,CGV-R4-202502,1970-01-01 00:00:00.000202502
COMERCIAL,R1,106,COMERCIAL-R1-202502,1970-01-01 00:00:00.000202502
COMERCIAL,R2,105,COMERCIAL-R2-202502,1970-01-01 00:00:00.000202502
COMERCIAL,R3,103,COMERCIAL-R3-202502,1970-01-01 00:00:00.000202502
COMERCIAL,R4,114,COMERCIAL-R4-202502,1970-01-01 00:00:00.000202502
COMERCIAL,R5,110,COMERCIAL-R5-202502,1970-01-01 00:00:00.000202502
CUIDADO AL CLIENTE,R4,23,CUIDADO AL CLIENTE-R4-202502,1970-01-01 00:00:00.000202502
CUIDADO AL CLIENTE,R3,2,CUIDADO AL CLIENTE-R3-202502,1970-01-01 00:00:00.000202502
EMPRESAS,R2,1,EMPRESAS-R2-202502,1970-01-01 00:00:00.000202502
EMPRESAS,R3,0,EMPRESAS-R3-202502,1970-01-01 00:00:00.000202502
EMPRESAS,R4,7,EMPRESAS-R4-202502,1970-01-01 00:00:00.000202502
EMPRESAS,R5,1,EMPRESAS-R5-202502,1970-01-01 00:00:00.000202502
PYME,R1,4,PYME-R1-202502,1970-01-01 00:00:00.000202502
PYME,R2,2,PYME-R2-202502,1970-01-01 00:00:00.000202502
PYME,R3,2,PYME-R3-202502,1970-01-01 00:00:00.000202502
PYME,R4,15,PYME-R4-202502,1970-01-01 00:00:00.000202502
TMK,R2,4,TMK-R2-202505,1970-01-01 00:00:00.000202505
TMK,R3,4,TMK-R3-202505,1970-01-01 00:00:00.000202505
TMK,R4,16,TMK-R4-202505,1970-01-01 00:00:00.000202505
TMK,R5,5,TMK-R5-202505,1970-01-01 00:00:00.000202505
CALL CENTER,R1,96,CALL CENTER-R1-202503,1970-01-01 00:00:00.000202503
CALL CENTER,R2,120,CALL CENTER-R2-202503,1970-01-01 00:00:00.000202503
CALL CENTER,R3,29,CALL CENTER-R3-202503,1970-01-01 00:00:00.000202503
CALL CENTER,R4,135,CALL CENTER-R4-202503,1970-01-01 00:00:00.000202503
CAV,R1,80,CAV-R1-202503,1970-01-01 00:00:00.000202503
CAV,R2,92,CAV-R2-202503,1970-01-01 00:00:00.000202503
CAV,R3,90,CAV-R3-202503,1970-01-01 00:00:00.000202503
CAV,R4,109,CAV-R4-202503,1970-01-01 00:00:00.000202503
CAV,R5,83,CAV-R5-202503,1970-01-01 00:00:00.000202503
CGV,R4,12,CGV-R4-202503,1970-01-01 00:00:00.000202503
COMERCIAL,R1,105,COMERCIAL-R1-202503,1970-01-01 00:00:00.000202503
COMERCIAL,R2,105,COMERCIAL-R2-202503,1970-01-01 00:00:00.000202503
COMERCIAL,R3,103,COMERCIAL-R3-202503,1970-01-01 00:00:00.000202503
COMERCIAL,R4,114,COMERCIAL-R4-202503,1970-01-01 00:00:00.000202503
COMERCIAL,R5,110,COMERCIAL-R5-202503,1970-01-01 00:00:00.000202503
CUIDADO AL CLIENTE,R4,0,CUIDADO AL CLIENTE-R4-202503,1970-01-01 00:00:00.000202503
EMPRESAS,R2,1,EMPRESAS-R2-202503,1970-01-01 00:00:00.000202503
EMPRESAS,R4,7,EMPRESAS-R4-202503,1970-01-01 00:00:00.000202503
EMPRESAS,R5,1,EMPRESAS-R5-202503,1970-01-01 00:00:00.000202503
PYME,R1,4,PYME-R1-202503,1970-01-01 00:00:00.000202503
PYME,R2,2,PYME-R2-202503,1970-01-01 00:00:00.000202503
PYME,R3,2,PYME-R3-202503,1970-01-01 00:00:00.000202503
PYME,R4,15,PYME-R4-202503,1970-01-01 00:00:00.000202503
TMK,R1,2,TMK-R1-202506,1970-01-01 00:00:00.000202506
TMK,R2,4,TMK-R2-202506,1970-01-01 00:00:00.000202506
TMK,R3,4,TMK-R3-202506,1970-01-01 00:00:00.000202506
TMK,R4,16,TMK-R4-202506,1970-01-01 00:00:00.000202506
CALL CENTER,R1,96,CALL CENTER-R1-202504,1970-01-01 00:00:00.000202504
CALL CENTER,R2,120,CALL CENTER-R2-202504,1970-01-01 00:00:00.000202504
CALL CENTER,R4,135,CALL CENTER-R4-202504,1970-01-01 00:00:00.000202504
CAV,R1,80,CAV-R1-202504,1970-01-01 00:00:00.000202504
CAV,R2,92,CAV-R2-202504,1970-01-01 00:00:00.000202504
CAV,R3,90,CAV-R3-202504,1970-01-01 00:00:00.000202504
CAV,R4,109,CAV-R4-202504,1970-01-01 00:00:00.000202504
CAV,R5,83,CAV-R5-202504,1970-01-01 00:00:00.000202504
CGV,R4,12,CGV-R4-202504,1970-01-01 00:00:00.000202504
COMERCIAL,R1,106,COMERCIAL-R1-202504,1970-01-01 00:00:00.000202504
COMERCIAL,R2,105,COMERCIAL-R2-202504,1970-01-01 00:00:00.000202504
COMERCIAL,R3,103,COMERCIAL-R3-202504,1970-01-01 00:00:00.000202504
COMERCIAL,R4,114,COMERCIAL-R4-202504,1970-01-01 00:00:00.000202504
COMERCIAL,R5,110,COMERCIAL-R5-202504,1970-01-01 00:00:00.000202504
CUIDADO AL CLIENTE,R3,0,CUIDADO AL CLIENTE-R3-202504,1970-01-01 00:00:00.000202504
CUIDADO AL CLIENTE,R4,0,CUIDADO AL CLIENTE-R4-202504,1970-01-01 00:00:00.000202504
EMPRESAS,R4,7,EMPRESAS-R4-202504,1970-01-01 00:00:00.000202504
EMPRESAS,R5,1,EMPRESAS-R5-202504,1970-01-01 00:00:00.000202504
PYME,R1,4,PYME-R1-202504,1970-01-01 00:00:00.000202504
PYME,R2,2,PYME-R2-202504,1970-01-01 00:00:00.000202504
PYME,R4,15,PYME-R4-202504,1970-01-01 00:00:00.000202504
PYME,R5,0,PYME-R5-202504,1970-01-01 00:00:00.000202504
TMK,R5,5,TMK-R5-202506,1970-01-01 00:00:00.000202506
EMPRESAS,R1,0,EMPRESAS-R1-202509,1970-01-01 00:00:00.000202509
EMPRESAS,R2,3,EMPRESAS-R2-202509,1970-01-01 00:00:00.000202509
EMPRESAS,R3,0,EMPRESAS-R3-202509,1970-01-01 00:00:00.000202509
EMPRESAS,R4,10,EMPRESAS-R4-202509,1970-01-01 00:00:00.000202509
EMPRESAS,R5,3,EMPRESAS-R5-202509,1970-01-01 00:00:00.000202509
CALL CENTER,R1,81,CALL CENTER-R1-202505,1970-01-01 00:00:00.000202505
CAV,R1,95,CAV-R1-202505,1970-01-01 00:00:00.000202505
COMERCIAL,R1,84,COMERCIAL-R1-202505,1970-01-01 00:00:00.000202505
EMPRESAS,R1,0,EMPRESAS-R1-202505,1970-01-01 00:00:00.000202505
PYME,R1,5,PYME-R1-202505,1970-01-01 00:00:00.000202505
PYME,R1,4,PYME-R1-202509,1970-01-01 00:00:00.000202509
CALL CENTER,R2,130,CALL CENTER-R2-202505,1970-01-01 00:00:00.000202505
CAV,R2,89,CAV-R2-202505,1970-01-01 00:00:00.000202505
COMERCIAL,R2,106,COMERCIAL-R2-202505,1970-01-01 00:00:00.000202505
EMPRESAS,R2,3,EMPRESAS-R2-202505,1970-01-01 00:00:00.000202505
PYME,R2,4,PYME-R2-202505,1970-01-01 00:00:00.000202505
PYME,R2,3,PYME-R2-202509,1970-01-01 00:00:00.000202509
CALL CENTER,R3,30,CALL CENTER-R3-202505,1970-01-01 00:00:00.000202505
CAV,R3,97,CAV-R3-202505,1970-01-01 00:00:00.000202505
COMERCIAL,R3,112,COMERCIAL-R3-202505,1970-01-01 00:00:00.000202505
EMPRESAS,R3,0,EMPRESAS-R3-202505,1970-01-01 00:00:00.000202505
PYME,R3,3,PYME-R3-202505,1970-01-01 00:00:00.000202505
PYME,R3,1,PYME-R3-202509,1970-01-01 00:00:00.000202509
CUIDADO AL CLIENTE,R4,26,CUIDADO AL CLIENTE-R4-202505,1970-01-01 00:00:00.000202505
CALL CENTER,R4,171,CALL CENTER-R4-202505,1970-01-01 00:00:00.000202505
CAV,R4,95,CAV-R4-202505,1970-01-01 00:00:00.000202505
CGV,R4,12,CGV-R4-202505,1970-01-01 00:00:00.000202505
COMERCIAL,R4,107,COMERCIAL-R4-202505,1970-01-01 00:00:00.000202505
EMPRESAS,R4,1,EMPRESAS-R4-202505,1970-01-01 00:00:00.000202505
PYME,R4,14,PYME-R4-202505,1970-01-01 00:00:00.000202505
PYME,R4,7,PYME-R4-202509,1970-01-01 00:00:00.000202509
CAV,R5,67,CAV-R5-202505,1970-01-01 00:00:00.000202505
COMERCIAL,R5,144,COMERCIAL-R5-202505,1970-01-01 00:00:00.000202505
PYME,R5,1,PYME-R5-202505,1970-01-01 00:00:00.000202505
PYME,R5,0,PYME-R5-202509,1970-01-01 00:00:00.000202509
EMPRESAS,R5,2,EMPRESAS-R5-202505,1970-01-01 00:00:00.000202505
CAV,R1,80,CAV-R1-202506,1970-01-01 00:00:00.000202506
CAV,R2,92,CAV-R2-202506,1970-01-01 00:00:00.000202506
CAV,R3,90,CAV-R3-202506,1970-01-01 00:00:00.000202506
CAV,R4,109,CAV-R4-202506,1970-01-01 00:00:00.000202506
CAV,R5,83,CAV-R5-202506,1970-01-01 00:00:00.000202506
CGV,R4,12,CGV-R4-202506,1970-01-01 00:00:00.000202506
EMPRESAS,R1,0,EMPRESAS-R1-202506,1970-01-01 00:00:00.000202506
EMPRESAS,R2,1,EMPRESAS-R2-202506,1970-01-01 00:00:00.000202506
EMPRESAS,R3,2,EMPRESAS-R3-202506,1970-01-01 00:00:00.000202506
EMPRESAS,R4,7,EMPRESAS-R4-202506,1970-01-01 00:00:00.000202506
EMPRESAS,R5,1,EMPRESAS-R5-202506,1970-01-01 00:00:00.000202506
TMK,R1,2,TMK-R1-202509,1970-01-01 00:00:00.000202509
TMK,R2,4,TMK-R2-202509,1970-01-01 00:00:00.000202509
TMK,R3,4,TMK-R3-202509,1970-01-01 00:00:00.000202509
TMK,R4,16,TMK-R4-202509,1970-01-01 00:00:00.000202509
TMK,R5,5,TMK-R5-202509,1970-01-01 00:00:00.000202509
PYME,R1,4,PYME-R1-202506,1970-01-01 00:00:00.000202506
PYME,R2,2,PYME-R2-202506,1970-01-01 00:00:00.000202506
PYME,R3,2,PYME-R3-202506,1970-01-01 00:00:00.000202506
PYME,R4,15,PYME-R4-202506,1970-01-01 00:00:00.000202506
PYME,R5,1,PYME-R5-202506,1970-01-01 00:00:00.000202506
CUIDADO AL CLIENTE,R4,25,CUIDADO AL CLIENTE-R4-202506,1970-01-01 00:00:00.000202506
COMERCIAL,R1,106,COMERCIAL-R1-202506,1970-01-01 00:00:00.000202506
COMERCIAL,R2,105,COMERCIAL-R2-202506,1970-01-01 00:00:00.000202506
COMERCIAL,R3,103,COMERCIAL-R3-202506,1970-01-01 00:00:00.000202506
COMERCIAL,R4,114,COMERCIAL-R4-202506,1970-01-01 00:00:00.000202506
