Tabla,Campo,Tipo,Nulos,Unicos,Ejemplo
buglum_reakt_diccionario_comportmientos,Observable,object,0,367,"Gestiona adecuadamente situaciones de alta presión, como retrasos o imprevistos, manteniendo una actitud positiva y proactiva."
buglum_reakt_diccionario_comportmientos,Id_Observable,object,42,266,OBS_00001
buglum_reakt_diccionario_comportmientos,Nueva_Habilidad,object,109,18,GESTIÓN DE EMOCIONES
buglum_reakt_diccionario_comportmientos,Perfil,object,42,17,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))"
buglum_reakt_diccionario_comportmientos,Rol,object,84,4,CONSULTOR
buglum_reakt_metas_observables,Canal,object,0,8,CALL CENTER
buglum_reakt_metas_observables,Region,object,0,5,R1
buglum_reakt_metas_observables,Meta,int64,0,65,85
buglum_reakt_metas_observables,Llave,object,0,387,CALL CENTER-R1-202507
buglum_reakt_metas_observables,Fecha,datetime64[ns],0,12,1970-01-01 00:00:00.000202507
conectados_ingresos,cedula,object,597,27547,52394973
conectados_ingresos,experiencia,object,19,26,CAV
conectados_ingresos,fecha,datetime64[ns],0,297,2025-01-14 00:00:00
Data_Conocimiento_Integrada,Cedula ,int64,0,1290,1000468068
Data_Conocimiento_Integrada,Punto LB ,float64,0,20,50.0
Data_Conocimiento_Integrada,Punto EV ,float64,9202,13,75.0
Data_Conocimiento_Integrada,Adhesion,float64,9202,34,-25.0
Data_Conocimiento_Integrada,Habilidad ,object,0,8,HABILIDAD COMERCIAL
Data_Conocimiento_Integrada,Momento,object,0,24,ARGUMENTA EL PRODUCTO
Data_Conocimiento_Integrada,Canal,object,0,4,TMK
Data_Conocimiento_Integrada,Regional ,object,0,5,R4
fechas_call_center,codigo_interno_evaluado,int64,0,668,1073712574
fechas_call_center,Fecha,datetime64[ns],0,9,1970-01-01 00:00:00.000202501
freshdesk_tickets,ID del ticket,int64,0,14449,111054
freshdesk_tickets,Asunto,object,15,8541,No deja ingresar a la plataforma
freshdesk_tickets,Estado,object,0,4,Closed
freshdesk_tickets,Prioridad,object,0,4,Low
freshdesk_tickets,Origen,object,0,4,Feedback Widget
freshdesk_tickets,Tipo,object,7,36,Solicitud de acceso a Plataformas de Comunicación
freshdesk_tickets,Agente,object,0,36,Stiven Garcia
