Nombre,CANAL,GERENCIA,OPERACIÓN,REGIONAL,REGIÓN,Aliado
DIESTRO SAS-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,DIESTRO SAS
DIGICEL TYT SAS-R5-TAT,COMERCIAL,PREPAGO,COM-TAT,R5 REGION ORIENTE-TAT,R5,DIGICEL TYT SAS
DIGITAL CONTACT CENTER CALI-JAIRO MACHADO-MOVIL MIGRACION-R3,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL MIGRACION,R3 REGION OCCIDENTE-JAIRO MACHADO-MOVIL MIGRACION,R3,DIGITAL CONTACT CENTER CALI
DIGITAL CONTACT CENTER CALI-JAIRO MACHADO-MOVIL PORTABILIDAD-R3,TMK,JAIRO MACHADO,TMK-JAIRO MACHADO-MOVIL PORTABILIDAD,R3 REGION OCCIDENTE-JAIRO MACHADO-MOVIL PORTABILIDAD,R3,DIGITAL CONTACT CENTER CALI
DIMENSION CELULAR SAS-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,DIMENSION CELULAR SAS
DIMENSION CELULAR SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,DIMENSION CELULAR SAS
DISELCO S.A-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,DISELCO S.A
DISTRIBUCIONES DEL QUINDIO-CALLE-R2-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R2 REGION NOROCCIDENTE-CALLE,R2,DISTRIBUCIONES DEL QUINDIO
DISTRIBUCIONES DEL QUINDIO-R2-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R2 REGION NOROCCIDENTE-PDV,R2,DISTRIBUCIONES DEL QUINDIO
DISTRIBUCIONES DEL QUINDIO-R2-TAT,COMERCIAL,PREPAGO,COM-TAT,R2 REGION NOROCCIDENTE-TAT,R2,DISTRIBUCIONES DEL QUINDIO
DISTRIBUCIONES DEL QUINDIO-R3-TAT,COMERCIAL,PREPAGO,COM-TAT,R3 REGION OCCIDENTE-TAT,R3,DISTRIBUCIONES DEL QUINDIO
DISTRIBUIDORA RAYCO SAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,DISTRIBUIDORA RAYCO SAS
DISTRIBUIDORA RAYCO SAS-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,DISTRIBUIDORA RAYCO SAS
DISTRIBUIDORA RAYCO SAS-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,DISTRIBUIDORA RAYCO SAS
DISTRIBUIDORA RAYCO SAS-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,DISTRIBUIDORA RAYCO SAS
DISTRICEL PARK-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,DISTRICEL PARK
DISTRICELCOM-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,DISTRICELCOM
DISTRICOM DE COLOMBIA S.A.S-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,DISTRICOM DE COLOMBIA S.A.S
DISTRICOM DE COLOMBIA S.A.S-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,DISTRICOM DE COLOMBIA S.A.S
